Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter),Cast ID,Device,File name,Cast time (UTC),Cast time (local),Sample type,Cast data,Location source,Default latitude,Default altitude,Start latitude,Start longitude,Start altitude,Start GPS horizontal error(Meter),Start GPS vertical error(Meter),Start GPS number of satellites,End latitude,End longitude,End altitude,End GPS horizontal error(Meter),End GPS vertical error(Meter),End GPS number of satellites,Cast duration (Seconds),Samples per second,Electronics calibration date,Conductivity calibration date,Temperature calibration date,Pressure calibration date,Dock Cluster,Dock Location,MLD
1.65,1.6828937990987467,12.77941398490411,327.4669542042327,433.3933744116332,0.2067120837598118,1458.2254427487765,999.5760891092392,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
1.95,1.9888732742687545,12.775343932673929,327.30641657732104,433.22757982120726,0.2066282923205981,1458.2151070158188,999.577944309664,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
2.25,2.294852088366429,12.763919151336724,327.23626090650464,433.2657577132345,0.2066404339145315,1458.1776451159103,999.5807886757796,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
2.55,2.600830051815391,12.75143144658866,327.3936507130389,433.6175320613217,0.2068051000806553,1458.136419608334,999.5838825240606,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
2.85,2.9068070975612685,12.736376222042152,327.2770997168252,433.6360992787375,0.2068058526170796,1458.085459980436,999.587165037003,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
3.15,3.212783372777461,12.729536057612934,326.96737054698366,433.3042553819176,0.206639638248308,1458.0647352476367,999.5892973253464,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
3.45,3.51875900355438,12.721075508214904,326.89518425923967,433.30575792841375,0.2066353123393689,1458.038196074838,999.5917560222372,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
3.75,3.82473365012772,12.697882138987476,326.8519767756285,433.5150388164582,0.206725067483275,1457.9571072488582,999.5961082924916,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
4.05,4.130706851040024,12.66573899328003,326.78857597511745,433.800828962124,0.206847654354274,1457.8427749480252,999.601582137976,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
4.35,4.4366786019423925,12.641777283537875,326.639000964874,433.8782923352096,0.2068725989348631,1457.7586297849514,999.6059629060336,CC2435009_20250513_195019.csv,CC2435009,CC2435009_20250513_195019,2025-05-13 19:50:19,2025-05-13 13:50:19,Cast,Processed,GPS,32,0,40.2832827,-106.8540396,2189.535888671875,5.951000213623047,7.5879998207092285,7,,,,,,,22.4,5,0001-01-01,2024-10-09,2024-10-07,2024-09-17,1,Dock_2,6.0
